IMPHY_ID,SMILES
IMPHY000001,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1Cc1ccc(c(c1)OC)O
IMPHY000002,CCC(C(=O)O[C@@H]1[C@@H](OC(=O)c2ccccc2)[C@]2(C)[C@@H](CC[C@@]32[C@]2([C@H]1[C@@]1(C)CC[C@@H](C[C@@H]1CC2)O[C@H]1C[C@@H](OC)[C@@H]([C@H](O1)C)O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O)O3)C(=O)C)C
IMPHY000003,O[C@@H]1OCC2=CC[C@@H]3[C@]([C@@H]12)(C)CCCC3(C)C
IMPHY000004,Cc1cc2ccccc2c(c1)C
IMPHY000005,OCCc1sc[n+](c1C)Cc1cnc(nc1N)C
IMPHY000006,Cc1ccc2c(c1)cccc2C
IMPHY000007,CO[C@H]1C=CC2=CCN3[C@]2(C1)c1cc(OC)c(cc1[C@H](C3)O)OC
IMPHY000008,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3([C@H](C2)CC[C@@]24[C@@H]3[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@]3([C@]4(O2)CC[C@H]3C(=O)C)C)C)O[C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O)C
IMPHY000009,Cc1cccc2c1cccc2C
IMPHY000010,CCC#Cc1cc2ccccc2c(=O)o1
IMPHY000011,O=c1c(O)c(oc2c1cccc2)c1ccccc1
IMPHY000012,Oc1ccc(cc1)C(=O)c1c(O)cc(cc1O)O
IMPHY000013,CC(=CCc1cc2c(=O)cc(oc2cc1O)c1ccc(c(c1)CC=C(C)C)O)C
IMPHY000014,COC[C@H]1Cc2cc(OC)c(cc2[C@H]([C@@H]1COC)c1ccc2c(c1)OCO2)OC
IMPHY000015,CC(=O)/C=C/[C@@H]1C(=C)CC[C@@H](C1(C)C)C
IMPHY000016,O=C1C[C@H]2C(C)(C)CCC[C@@]2(c2c1cc(O)c(c2)O)C
IMPHY000017,Cc1cccs1
IMPHY000018,CC1=C2C[C@H]3C(=C[C@H]([C@]43[C@@](C[C@@H]2OC1=O)(O4)C)O)C
IMPHY000019,C[C@@H]1N[C@H](CCCCCCCCCCc2cc(CCCCCCCCCC[C@@H]3CC[C@@H]([C@@H](N3)C)O)c3[n+](c2)CCC3)CC[C@@H]1O
IMPHY000020,COc1cc2cc3C(=O)NCc3c(c2cc1O)c1ccc(c(c1)OC)O
IMPHY000021,O=C/C(=C/c1ccc(cc1)O)/C/C=C/c1ccc(cc1)O
IMPHY000022,C=CC(=C)CCCC(O)(C)C
IMPHY000023,COc1cccc2c1c(O)cc(c2)C
IMPHY000024,CCC[C@H](C[C@H]1CCCCN1)O
IMPHY000025,C[C@@H]1CC[C@@H]2[C@@H]1C[C@H]1CC[C@]2(C)OC1(C)C
IMPHY000026,COc1cc(CCN(C)C)c2c(c1OC)c1cc3OCOc3cc1cc2
IMPHY000027,O=C(N1CCCCC1)CCCC/C=C/c1ccc2c(c1)OCO2
IMPHY000028,O=C1OCC/C/1=CC[C@H]1[C@]2(CC[C@@H]3[C@]1(C)CCCC3(C)C)OC2
IMPHY000029,COC(=O)[C@H]1[C@H](C(=C)C)[C@H]2O[C@H]3C[C@]1(O)[C@]1([C@@H]2OC(=O)[C@@]31O)C
IMPHY000030,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3([C@H](C2)CC[C@@]24[C@@H]3[C@H](OC(=O)C(CC)C)[C@@H](OC(=O)/C(=C/C)/C)[C@]3([C@]4(O2)CC[C@H]3C(=O)C)C)C)O[C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O)C
IMPHY000031,CCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC
IMPHY000032,NCC(=O)NCC(=O)NCC(=O)O
IMPHY000033,O=C[C@@H]1[C@H](C)OC[C@@H]2[C@H]1C[C@@H]1N([C@H]2Cc2c1n(C)c1c2cccc1)C
IMPHY000034,OCC[C@H]1C[C@@H]2N(C[C@@H]1CC)CCc1c2cc(OC)c(c1)OC
IMPHY000035,OCC1=C(C)CCCC1(C)C
IMPHY000036,COc1cc2c(cc1O)oc1c(c2=O)c(O)c(c(c1)O)[C@@H]1O[C@H](CO[C@@H]2OC[C@]([C@H]2O)(O)CO)[C@H]([C@@H]([C@H]1O)O)O
IMPHY000037,OCC=C(C)C
IMPHY000038,CC(CCCCCCC(=O)O)C
IMPHY000039,CC(C#Cc1cc2ccccc2c(=O)o1)O
IMPHY000040,NCCS(=O)(=O)O
IMPHY000041,Cc1ccc(c2c1cccc2)C
IMPHY000042,CC(=O)C(C)C
IMPHY000043,COc1nccnc1CCCC(C)C
IMPHY000044,O=C1c2cccc(c2C(=O)c2c1ccc(c2O)C)O
IMPHY000045,CN(C(=O)/C=C/c1ccccc1)/C=C/c1ccccc1
IMPHY000046,CC(=O)O[C@@H]1CC[C@]2([C@H]([C@@]1(C)C(=O)O)CC[C@@]1([C@@H]2C(=O)C=C2[C@@]1(C)CC[C@@]1([C@H]2[C@@H](C)[C@H](C)CC1)C)C)C
IMPHY000047,CCCCC(/C=C/C(=O)CCc1ccc(c(c1)OC)O)O
IMPHY000048,C=CC/C=CC/C=CCCCCCCCc1cccc(c1)O
IMPHY000049,Oc1ccc2c(c1)c(=O)c1c(o2)c(O)c2c(c1O)C=CC(O2)(C)C
IMPHY000050,O=CO[C@]1(C)CCC[C@@]2([C@@H]1CC[C@]13[C@H]2CC[C@H](C1)[C@](C3)(O)COC(=O)C)C
IMPHY000051,CNCCC1(O)C(=O)Nc2c1cccc2
IMPHY000052,CC(C1=C[C@H]2[C@H]([C@](CC1)(C)O)CC[C@]2(C)O)C
IMPHY000053,CC(=CCc1cc(CCc2cc(O)cc(c2)O)ccc1O)C
IMPHY000054,Cc1ccc(c2c1C[C@@H](CC2)C(O)(C)C)C
IMPHY000055,C1Oc2c(O1)cc1c(-c3cccc4c3n(C1)cc4)c2
IMPHY000056,CCCCCCC/C=C/C=C/C(=O)N1CCCC1
IMPHY000057,OC[C@@H]1[C@@H]2Cc3c([C@H]4N2C/C(=C/C)/[C@@H]1C4)[nH]c1c3ccc(c1)OC
IMPHY000058,O=C1CC(Oc2c1ccc1c2C=CC(O1)(C)C)c1ccc2c(c1)OCO2
IMPHY000059,O=c1cc(oc2c1ccc1c2cco1)c1ccccc1
IMPHY000060,CCCCCCCCCCCCCC(=O)O
IMPHY000061,C[C@H]1CC[C@@]2([C@@]3([C@H]1C[C@H](C2(C)C)CC3)C)O
IMPHY000062,CN1CC[C@@]23[C@@H]4[C@H]1Cc1c3c(O[C@H]2[C@H](C=C4)O)c(cc1Oc1ccc2c3c1O[C@@H]1[C@@]43CCN([C@H](C2)[C@@H]4C=C[C@@H]1O)C)O
IMPHY000063,O=C1OC(=O)C2=C1[C@@]1(C)CCCC([C@@H]1CC2)(C)C
IMPHY000064,COC(=O)C1=C2Nc3c([C@]42[C@H]2/C(=CC)/[C@@H]1CCN2CC4)cccc3
IMPHY000065,COc1cc(O)c2c(c1)oc(cc2=O)c1cc(OC)c(c(c1)OC)OC
IMPHY000066,CCCC/C=CCCCCCCCCCc1cc(O)cc(c1)OC
IMPHY000067,O[C@@H]1OC(=O)C2=C1[C@@]1(C)CCCC([C@@H]1CC2)(C)C
IMPHY000068,COc1cc2OC(C)(C)C=Cc2c2c1c(=O)cc(o2)c1ccccc1
IMPHY000069,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@]3(O)CC[C@@H]2C(=O)C)C)C1)C
IMPHY000070,Cc1ccc2c(c1)c(ccc2C)C(C)C
IMPHY000071,CN1CCC2(OC1C)C(=O)Nc1c2cccc1
IMPHY000072,CC(=C)C1=C[C@]2(CC1)[C@H](C)CCC=C2C
IMPHY000073,CC(=CC(=O)CC(c1ccc(cc1O)C)C)C
IMPHY000074,O=C[C@]12C[C@H]3O[C@]4(O)[C@H](O[C@@H]3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)O[C@@H](C[C@@]14SCC=N1)C
IMPHY000075,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3([C@H](C2)CC[C@@]24[C@@H]3[C@H](OC(=O)/C(=C/C)/C)[C@@H](O)[C@]3([C@]4(O2)CC[C@H]3C(=O)C)C)C)O[C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O)C
IMPHY000076,COc1cc2CCN([C@@H]3c2c(-c2c(OC)cccc2C3)c1O)C
IMPHY000077,CS/C=C/CSSC/C=C/SC
IMPHY000078,Cc1cccc2c1c(C)ccc2
IMPHY000079,COc1cc(O)c2c(c1)C(=O)C1=C(C2=O)C[C@@](C[C@@H]1O)(C)O
IMPHY000080,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)NCC1CNc2c(N1)c(=O)nc([nH]2)N
IMPHY000081,C/C=C1/CN2[C@@H]3[C@@H]([C@H]1C[C@H]2c1c(C3)c2c([nH]1)cccc2)C=O
IMPHY000082,OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)c2ccc(c(c2)OC)O)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000083,CC(=O)OCCN
IMPHY000084,CCCCCC(O)C
IMPHY000085,O=COCC(C)C
IMPHY000086,O=c1cc(oc2c1ccc1c2cco1)c1ccc2c(c1)OCO2
IMPHY000087,CC(CC(=O)OCC#CCc1cc2ccccc2c(=O)o1)C
IMPHY000088,OC[C@H]1O[C@@H](OC(C#N)(C)C)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000089,Oc1ccc(cc1)[C@@H]1OC[C@@H](C[C@H]1C/C=C/c1ccc(cc1)O)C(c1ccc(cc1)O)O
IMPHY000090,CC1=C(C)C(=O)O[C@H](C1)[C@@]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2[C@@H]2O[C@@H]2[C@@]2([C@]1(C)C(=O)C=CC2)O)(O)C
IMPHY000091,CCC(=O)C(C)C
IMPHY000092,N#CCc1c[nH]c2c1c(O)ccc2
IMPHY000093,O=C1C[C@H]2C(C)(C)CCC[C@@]2(c2c1cc(C)c(c2)O)C
IMPHY000094,CC1=CC=C[C@@]2([C@H]1C[C@@H](CC2)C(O)(C)C)C
IMPHY000095,OC[C@H]1O[C@@H](O[C@H]2Oc3cc(OC)ccc3N(C2=O)O)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000096,COc1c(O)cc2c(c1O)c(=O)c(co2)c1ccc(c(c1)O)O
IMPHY000097,O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2C1=CC(=O)OC1)C)C
IMPHY000098,CSCC[C@@H]1NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]2N(C(=O)[C@H]3N(C(=O)[C@@H](NC(=O)[C@@H](NC1=O)CC(C)C)[C@H](CC)C)CCC3)CCC2)C(C)C)[C@H](CC)C
IMPHY000099,OCC1=CCC2CC1C2(C)C
IMPHY000100,CC1=C[C@@H]2C(C)(C)CCC[C@]2([C@@H](CC1)O)C
IMPHY000101,CC(=O)O[C@H]1C(=O)[C@@H](C)CCCC(=C)[C@@H]2[C@@H]1C(C2)(C)C
IMPHY000102,C[C@H]1CCC(=NC1)[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H]([C@@H]2O)O)C
IMPHY000103,Oc1c(O)cccc1O
IMPHY000104,C[C@@H]1CC[C@H]2[C@@H]1CC(=CC=C2C(=O)OC[C@]1(O)[C@@H](O)C[C@@H]2[C@H]1C(=O)OCC2=C)C(C)C
IMPHY000105,C=CC(CCCCCCCC(=O)O)O
IMPHY000106,COC1(C)CC(c2ccccc2)c2c(O1)c1ccccc1oc2=O
IMPHY000107,C[C@H]1CCC(=NC1)[C@@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C)C
IMPHY000108,C=C[C@]1(C)CCC=C[C@H]1C(=C)C
IMPHY000109,COc1c(O)c(CC=C(CCC=C(C)C)C)c(c(c1OC)O)C
IMPHY000110,O=C(O[C@H]1[C@H](COC1(C)C)c1c(O)ccc2c1O[C@@H](CC2=O)c1ccccc1)/C=C/c1ccccc1
IMPHY000111,CCCCCCC(CCCC(C1CCC(O1)C1CCC(O1)C(CCCCCCCCCCC1=CC(OC1=O)C)O)O)O
IMPHY000112,C=CC(CCCC(CCCC(CCCC(C)C)C)C)(O)C
IMPHY000113,OC[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]2[C@@H]3CC[C@]3([C@]2(O)C[C@@H]([C@@H]3C2=CC(=O)OC2)O)C)C)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000114,OCC(=O)CCC(=O)OC
IMPHY000115,CC1(C)CCc2c(O1)cc1c(c2)ccc(=O)o1
IMPHY000116,OC[C@H]1O[C@@H](OC(=O)[C@]23CC[C@@]4(C(=CC[C@H]5[C@@]4(C)CC[C@@H]4[C@]5(C)C[C@@H]([C@@H]([C@@]4(C)C(=O)O)O[C@@H]4O[C@H](CO)[C@H]([C@@H]([C@H]4O)O)O)O)[C@@H]3CC(CC2)(C)C)C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1OC[C@H]([C@@H]([C@H]1O)O)O
IMPHY000117,O=C[C@]1(C)CCC[C@@]2([C@@H]1CC[C@]13[C@H]2CC[C@H](C1)[C@](C3)(O)COC(=O)C)C
IMPHY000118,COc1c2OCOc2c2-c3ccccc3[C@H]([C@@H]3c2c1CCN3)O
IMPHY000119,O=C(c1ccccc1)OC[C@@]1(O)C(=O)C=C[C@H]([C@@H]1O)OC(=O)c1ccccc1
IMPHY000120,CCCCCCCCCCCCCCCCC(=O)O
IMPHY000121,C=CC(=C)CCCC(CCCC(CCCC(C)C)C)C
IMPHY000122,COc1cc2cc3CC(C)(O)CC(=O)c3c(c2c(c1)O)O
IMPHY000123,COc1cc2oc3c(O)cccc3c(=O)c2c(c1CC=C(C)C)O
IMPHY000124,OC[C@@]1(C)CCC[C@]2([C@H]1[C@H](O)C[C@H]([C@]2(O)CCc1cocc1)C)C
IMPHY000125,NCCCCN
IMPHY000126,C1CCSCS1
IMPHY000127,COc1c(C)c2OC(CC(=O)c2c(c1CO)O)c1ccccc1
IMPHY000128,COC1=C[C@@H](C)[C@H]2[C@@](C1=O)(C)[C@H]1[C@H](O)[C@@H](O)[C@@H]([C@H]3[C@@]1([C@@H](C2)OC(=O)C3)C)C
IMPHY000129,OC[C@H]1O[C@@H](O[C@H]2[C@H](C)O[C@H]([C@@H]([C@@H]2O)O)O[C@H]2CC[C@]3([C@](C2)(O)CCC2[C@@H]3CC[C@]3([C@]2(O)CC[C@@H]3c2ccc(=O)oc2)C)C=O)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000130,S=C=NCCCS(=O)C
IMPHY000131,OCCCCCCCCCCCCCCCC(=O)O
IMPHY000132,COc1cc2OC(C=C(C)C)c3c(-c2cc1O)oc1c(c3=O)c(O)cc2c1C=CC(O2)(C)C
IMPHY000133,OC[C@H]1O[C@@H](OCC2=CO[C@H]([C@H]3[C@@H]2C[C@@H]([C@@]3(C)O)O)OC(=O)CC(C)C)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000134,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(c(c2)OC)O)cc(c1O)C(/C=C/c1ccc(c(c1)OC)OC)C
