TCM_ID,SMILES
MOL004701,C[C@@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@H]4C=C[C@]46OC[C@@]7(CCC(C)(C)C[C@@H]74)[C@@H](O)C[C@]65C)[C@]3(C)CO)O[C@@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O
MOL005813,C=C(C)[C@@H]1C/C=C(/C)CC/C=C(/C)CC1
MOL010312,COCc1ccc(C=O)n1CCCC(=O)OC
MOL009133,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](O)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1O)c1cc(O)c(O)c(O)c1
MOL001503,C=C=C(C)CCC[C@H](C)CCC[C@@H](C)CCCC(C)C
MOL003494,CC(=O)O[C@@H]1CC[C@@H](C)[C@]23OC(C)(C)[C@H](C[C@H](OC(=O)c4ccoc4)[C@]12C)[C@@H]3OC(=O)c1ccoc1
MOL004351,CC1=C[C@H]2O[C@@H]3[C@H](O)C[C@](C)([C@@]2(CO)[C@H](O)C1=O)[C@@]31CO1
MOL009099,O=C(O[C@H]1COC(=O)c2cc(O)c(O)c(O)c2-c2c(cc(O)c(O)c2O)C(=O)O[C@H]1[C@@H]1OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c(O)c3c2C(=O)O[C@@H]1[C@@H]3O)c1cc(O)c(O)c(O)c1
MOL011850,C/C(CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)=C1\CC[C@@H](C)CC1=O
MOL010742,C[C@H]1O[C@H](c2ccccc2)[C@H](C)N1C
MOL012285,CC[C@H](C[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C)[C@@H](C)CO
MOL009563,CC(C)(CO)CO
MOL006696,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@]3(C)[C@H]2CC=C2[C@H]4[C@H](C)[C@@H](C)CC[C@@]4(C)CC[C@@]23C)C1(C)C
MOL001153,C/C1=C\C(=O)c2c(C)coc2C/C(C)=C/CC1
MOL007984,CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@@H]3CC=C4C[C@H](O)CC[C@@]4(C)[C@H]3CC[C@@]21C)C(C)C
MOL005110,Cc1ccc2c(c1)CCCC2(C)C
MOL011503,C[C@H](O)C[C@@]1(O)C(=O)O[C@H]([C@H](CO)[C@H]2CC[C@@H]3[C@@H]4C[C@H](O)[C@@]5(O)CC=CC(=O)[C@@]5(C)[C@H]4C[C@@H](O)[C@]23C)C[C@]1(C)O
MOL008722,C=CC(C)=O
MOL009830,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1
MOL000312,COc1cccc([C@H]2O[C@H](c3ccc4c(c3)OCO4)[C@H](C)[C@@H]2C)c1OC
MOL005540,CC1=Cc2c(C(C)C)ccc(C)c2CC1
MOL002285,O=C(OC[C@H](O)CO)c1cc(O)c(O)c(O)c1
MOL008688,C[C@H]1CC[C@H]([C@@H](C)[C@H]2[C@H](O)C[C@H]3[C@@H]4CC=C5C[C@H](O)CC[C@]5(C)[C@H]4CC[C@]23C)NC1
MOL011153,CCCCOC(=O)CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O
MOL008372,CCC1SCCCS1
MOL000742,CN1CCc2ccc(O)c3c2[C@@H]1Cc1cc2c(cc1O3)OCO2
MOL007087,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@H]1C[C@@H]2OC3=O
MOL001850,CC1=CC(=O)CC(C)(C)C1
MOL008667,CCCCCC[C@@H](CCCC)C(=O)O
MOL009975,CC(C)=CCC[C@H](O)[C@H]1CC[C@]2(C)[C@@H]1CC[C@@H]1[C@]3(CO)CC[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@H]3CC[C@]12C
